Municipio|CP|Dirección|Gasolina95|Gasoleo|Distancia
Collado Villalba|28400|CALLE ESCOFINA, 17|1,819|1,889|36.72960810945402
Collado Villalba|28400|CARRETERA N-VI KM. 43,2|1,799|1,839|39.43854836545782
Collado Villalba|28400|AUTOPISTA VIA DE SERVICIO M.D. KM. 38,300|1,809|1,869|35.30608030284891
Collado Villalba|28400|AVENIDA JUAN CARLOS I, 3|1,809|1,869|34.90266454468744
Collado Villalba|28400|AVENIDA JUAN CARLOS I, 46|1,829|1,879|37.140507578391784
Collado Villalba|28400|CALLE AZUELA, 73|1,676|1,677|36.90792674876693
Collado Villalba|28400|CALLE CALLE POLÍGONO 5, 20|1,727|1,767|36.56607415786002
Collado Villalba|28400|CALLE ESCOFINA, 3|1,677|1,697|36.87569670528776
Collado Villalba|28400|AUTOPISTA AP-6 (MRG.IZDO.) KM. 42,3|1,854|1,915|39.06236324337123
Collado Villalba|28400|CR M-601 1,0 (M-601 km 1,00)|1,849|1,899|37.32639869412428
Collado Villalba|28400|CALLE REAL, 2|1,845|1,909|35.67290664271262
Collado Villalba|28400|CARRETERA NAVACERRADA KM. 1,33|1,849|1,899|37.58580472069842
Collado Villalba|28400|AVENIDA JUAN CARLOS I, 24|1,677|1,697|36.29172134362409
Collado Villalba|28400|CALLE AZUELA, 62|1,727|1,767|36.93189820123422
Collado Villalba|28400|CALLE MATADERO, CARREFOUR LOS VALLES, S/N|1,719|1,824|36.7560423031449
Colmenar de Oreja|28380|CL MADRID, 1|1,845|1,949|41.845367931708466
Colmenar del Arroyo|28213|CR M-501, 34,1|1,779|1,799|40.5139882655018
Colmenar del Arroyo|28213|AUTOVIA M-501 KM. 34,1|1,845|1,919|40.539681037418305
Colmenar Viejo|28770|CR M-607, 28,2|1,845|1,899|25.774017250198025
Colmenar Viejo|28770|CARRETERA M-607 KM. 29,8|1,845|1,899|27.206268112923375
Colmenar Viejo|28770|AVENIDA DE LA LIBERTAD, S/N|1,845|1,899|28.68190923306713
Colmenar Viejo|28770|AUTOVIA A-1 KM. 29,1|1,884|1,939|26.36795351832954
Colmenar Viejo|28770|PASEO DE LA HERMITA DE STA. ANA, 2|1,799|1,849|27.80804106310231
Colmenar Viejo|28770|AVENIDA DE LOS REYES, 2|1,765|1,779|27.974446793138085
Colmenar Viejo|28770|CALLE CERRO SAN PEDRO, 4|1,799|1,799|28.67046574540106
Colmenar Viejo|28770|CR M-607, 28|1,809|1,829|25.695694255553544
Colmenar Viejo|28770|CALLE C.C. ALCAMPO, C/. TEJERA, 2|1,798|1,798|28.214507716682846
Colmenar Viejo|28770|AVENIDA LIBERTAD (DE LA), 64|1,819|1,869|28.18020847875858
Coslada|28820|AVENIDA JARAMA (DEL), 17|1,759|1,799|13.610725640392786
Coslada|28820|AVENIDA SAN PABLO, 29|1,749|1,799|14.079286319735445
Coslada|28820|CL AVENIDA DE LA CONSTITUCION, 3|1,885|1,929|9.951171650218757
Coslada|28820|AVENIDA SAN PABLO, 32|1,865|1,959|13.793839753604573
Coslada|28820|AVENIDA CONSTITUCION (DE LA), 28|1,839|1,899|10.138706823649935
Coslada|28820|AVDA. JOSE GARATE, 2|1,875|1,925|12.101214876880448
Coslada|28820|AVENIDA SAN PABLO, 26|1,869|1,929|13.883287712235575
Coslada|28820|AVENIDA CONSTITUCION, 30|1,869|1,929|10.20943402347157
Coslada|28820|AVENIDA SAN PABLO (DE), 39|1,799|1,839|13.837656571222702
Coslada|28821|AVENIDA ESPAÑA, 118|1,869|1,929|11.649355488625364
Coslada|28821|CALLE RIOJA, 23|1,869|1,909|11.684137996237723
Coslada|28821|CALLE RIOJA, 20|1,869|1,909|11.813062175886081
Coslada|28821|AVENIDA SAN PABLO,ESQUINA C/INGENIERO FERNANDEZ, 40|1,799|1,839|13.68646126439513
Coslada|28821|AVENIDA DEL JARAMA, 19|1,799|1,839|13.759677779357618
Daganzo de Arriba|28814|CALLE FRANKLIN, 1|1,799|1,849|24.29222465290853
Daganzo de Arriba|28814|CR M-100, 10,1|1,865|1,909|25.05378003674068
Daganzo de Arriba|28814|POLIGONO LOS FRAILES, 133|1,769|1,759|24.55965642834826
Escorial (El)|28280|AVENIDA FELIPE II, 9|1,845|1,899|41.87590098015102
Escorial (El)|28280|CALLE ESTACION, 40|1,637|1,637|37.25747427361389
Estremera|28595|CARRETERA M222 KM. 19|1,849|1,889|55.009000344141626
Fuenlabrada|28945|C/ LEGANES Nº 62|1,869|1,929|15.02546364919401
Fuenlabrada|28945|CALLE CONSTITUCION, 81|1,789|1,789|16.1267614128312
